file,time(microseconds)
d100.txt,116
d1000.txt,195
d10000.txt,691
d100000.txt,1162
d1000000.txt,5336
d1250000.txt,6703
d15000.txt,134
d1500000.txt,8015
d200.txt,22
d2000.txt,46
d200000.txt,1058
d2000000.txt,12708
d30000.txt,206
d500.txt,26
d5000.txt,74
d50000.txt,307
d500000.txt,2688
d7500.txt,94
d75000.txt,438
d750000.txt,4031
o100.txt,22
o1000.txt,34
o10000.txt,136
o100000.txt,647
o1000000.txt,5596
o1250000.txt,6811
o15000.txt,175
o1500000.txt,8228
o200.txt,23
o2000.txt,50
o200000.txt,1326
o2000000.txt,11982
o30000.txt,256
o500.txt,27
o5000.txt,93
o50000.txt,354
o500000.txt,2746
o7500.txt,120
o75000.txt,481
o750000.txt,4068
po100.txt,22
po1000.txt,33
po10000.txt,103
po100000.txt,598
po1000000.txt,5485
po1250000.txt,6664
po15000.txt,139
po1500000.txt,8223
po200.txt,23
po2000.txt,47
po200000.txt,1131
po2000000.txt,10799
po30000.txt,209
po500.txt,26
po5000.txt,75
po50000.txt,323
po500000.txt,2732
po7500.txt,97
po75000.txt,464
po750000.txt,4250
a100.txt,21
a1000.txt,33
a10000.txt,103
a100000.txt,579
a1000000.txt,5329
a1250000.txt,6820
a15000.txt,139
a1500000.txt,8275
a200.txt,24
a2000.txt,48
a200000.txt,1670
a2000000.txt,10855
a30000.txt,209
a500.txt,28
a5000.txt,76
a50000.txt,353
a500000.txt,2714
a7500.txt,94
a75000.txt,442
a750000.txt,3978
