file,time(microseconds)
d100.txt,11
d1000.txt,116
d10000.txt,1540
d100000.txt,4348
d1000000.txt,36509
d1250000.txt,48348
d15000.txt,500
d1500000.txt,59615
d200.txt,3
d2000.txt,46
d200000.txt,6686
d2000000.txt,76322
d30000.txt,981
d500.txt,9
d5000.txt,139
d50000.txt,1673
d500000.txt,17636
d7500.txt,231
d75000.txt,2424
d750000.txt,28249
o100.txt,2
o1000.txt,21
o10000.txt,316
o100000.txt,3323
o1000000.txt,38317
o1250000.txt,48818
o15000.txt,504
o1500000.txt,59239
o200.txt,3
o2000.txt,46
o200000.txt,7288
o2000000.txt,76781
o30000.txt,1051
o500.txt,9
o5000.txt,140
o50000.txt,1694
o500000.txt,17624
o7500.txt,257
o75000.txt,2474
o750000.txt,28054
po100.txt,4
po1000.txt,23
po10000.txt,317
po100000.txt,3393
po1000000.txt,37378
po1250000.txt,50267
po15000.txt,506
po1500000.txt,57768
po200.txt,5
po2000.txt,50
po200000.txt,6773
po2000000.txt,74642
po30000.txt,972
po500.txt,12
po5000.txt,140
po50000.txt,1646
po500000.txt,17564
po7500.txt,234
po75000.txt,2447
po750000.txt,28483
a100.txt,5
a1000.txt,67
a10000.txt,816
a100000.txt,8987
a1000000.txt,92790
a1250000.txt,112640
a15000.txt,1316
a1500000.txt,139825
a200.txt,12
a2000.txt,149
a200000.txt,18335
a2000000.txt,183688
a30000.txt,2816
a500.txt,32
a5000.txt,388
a50000.txt,4699
a500000.txt,44827
a7500.txt,596
a75000.txt,6671
a750000.txt,66965
